Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,clearing_price,closing_only_clearing_price,SSR_filling_price,condition_indicator,Bid,Ask
7/1/2026 9:06:49 AM,N,O,53345,14045,302.7,320,0,0,0,0,0
7/1/2026 9:06:51 AM,N,O,53346,14045,302.7,320,0,0,0,0,0
7/1/2026 9:07:04 AM,N,O,53333,14058,302.7,320,0,0,0,0,0
7/1/2026 9:07:05 AM,N,O,53324,14058,302.7,320,0,0,0,0,0
7/1/2026 9:07:06 AM,N,O,53321,14061,302.7,320,0,0,0,0,0
7/1/2026 9:07:08 AM,N,O,53320,14062,302.7,320,0,0,0,0,0
7/1/2026 9:07:10 AM,N,O,53319,14063,302.7,320,0,0,0,0,0
7/1/2026 9:07:11 AM,N,O,53317,14063,302.7,320,0,0,0,0,0
7/1/2026 9:07:12 AM,N,O,49909,17561,302.7,320,0,0,0,0,0
7/1/2026 9:07:13 AM,N,O,49908,17562,302.7,320,0,0,0,0,0
7/1/2026 9:07:16 AM,N,O,49910,17560,302.7,320,0,0,0,0,0
7/1/2026 9:07:20 AM,N,O,49909,17560,302.7,320,0,0,0,0,0
7/1/2026 9:07:21 AM,N,O,49922,17547,302.7,320,0,0,0,0,0
7/1/2026 9:07:26 AM,N,O,51772,17547,302.7,320,0,0,0,0,0
7/1/2026 9:07:27 AM,N,O,51769,17551,302.7,320,0,0,0,0,0
7/1/2026 9:07:28 AM,N,O,51739,17561,302.7,320,0,0,0,0,0
7/1/2026 9:07:35 AM,N,O,51742,17561,302.7,320,0,0,0,0,0
7/1/2026 9:07:36 AM,N,O,51642,17561,302.7,320,0,0,0,0,0
7/1/2026 9:07:46 AM,N,O,51419,17784,302.7,320,0,0,0,0,0
7/1/2026 9:07:49 AM,N,O,51409,17784,302.7,320,0,0,0,0,0
7/1/2026 9:07:51 AM,N,O,51399,17784,302.7,320,0,0,0,0,0
7/1/2026 9:07:55 AM,N,O,51500,17784,302.7,320,0,0,0,0,0
7/1/2026 9:07:59 AM,N,O,51497,17784,302.7,320,0,0,0,0,0
7/1/2026 9:08:03 AM,N,O,51496,17784,302.7,320,0,0,0,0,0
7/1/2026 9:08:05 AM,N,O,51497,17784,302.7,320,0,0,0,0,0
7/1/2026 9:08:08 AM,N,O,51516,17784,302.7,320,0,0,0,0,0
7/1/2026 9:08:11 AM,N,O,51523,17784,302.7,320,0,0,0,0,0
7/1/2026 9:08:12 AM,N,O,51578,17784,302.7,320,0,0,0,0,0
7/1/2026 9:08:18 AM,N,O,51579,17784,302.7,320,0,0,0,0,0
7/1/2026 9:08:20 AM,N,O,51679,17784,302.7,320,0,0,0,0,0
7/1/2026 9:08:25 AM,N,O,51739,17784,302.7,320,0,0,0,0,0
7/1/2026 9:08:30 AM,N,O,51721,17802,302.7,320,0,0,0,0,0
7/1/2026 9:08:31 AM,N,O,51720,17802,302.7,320,0,0,0,0,0
7/1/2026 9:08:35 AM,N,O,51670,17802,302.7,320,0,0,0,0,0
7/1/2026 9:08:36 AM,N,O,51660,17802,302.7,320,0,0,0,0,0
7/1/2026 9:08:37 AM,N,O,51686,17802,302.7,320,0,0,0,0,0
7/1/2026 9:08:39 AM,N,O,51704,17784,302.7,320,0,0,0,0,0
7/1/2026 9:08:40 AM,N,O,51717,17784,302.7,320,0,0,0,0,0
7/1/2026 9:08:45 AM,N,O,51617,17784,302.7,320,0,0,0,0,0
7/1/2026 9:08:49 AM,N,O,51016,17784,302.7,320,0,0,0,0,0
7/1/2026 9:08:50 AM,N,O,51116,17784,302.7,320,0,0,0,0,0
7/1/2026 9:08:51 AM,N,O,51114,17784,302.7,320,0,0,0,0,0
7/1/2026 9:08:55 AM,N,O,51140,17784,302.7,320,0,0,0,0,0
7/1/2026 9:08:56 AM,N,O,51151,17774,302.7,320,0,0,0,0,0
7/1/2026 9:09:01 AM,N,O,51141,17774,302.7,320,0,0,0,0,0
7/1/2026 9:09:05 AM,N,O,51142,17774,302.7,320,0,0,0,0,0
7/1/2026 9:09:07 AM,N,O,51139,17774,302.7,320,0,0,0,0,0
7/1/2026 9:09:08 AM,N,O,51109,17774,302.7,320,0,0,0,0,0
7/1/2026 9:09:11 AM,N,O,51148,17774,302.7,320,0,0,0,0,0
7/1/2026 9:09:13 AM,N,O,51129,17774,302.7,320,0,0,0,0,0
